evidence_id,method_id,material_id,material_group,entry_id,protocol_number,protocol_source,doi,source_pdf,json_file,target_material,formula,elements,morphology,morphology_reported,route,route_reported,phase_or_structure,full_synthesis_procedure,notes,precursors,additives,solvent,temperature_C,time_h,time_min,pH,pressure_or_vessel,atmosphere,mixing_or_addition_sequence,washing,drying_temperature_C,calcination_temperature_C,post_treatment,support_or_substrate,particle_size_nm,diameter_nm,length_nm,width_nm,thickness_nm,yield,confidence
evidence_2b49f0e2118425,method_cdbc3491ca5315,mat_99ab3c28b05302,Ag,7467,1,main_protocol,10.1016/j.powtec.2007.07.034,7467.pdf,7467.json,Silver nanoparticles and Ag/hydroxyapatite nanocomposite spheres,Ag,Ag,nanoparticle,Silver nanoparticles; nanocomposite spheres,chemical reduction,Room-temperature chemical reduction followed by ultrasonic loading,Pure silver nanoparticles electrostatically loaded on hydroxyapatite nanoribbon spherulites,"Ethylenediamine (0.05 mL) was added to 20 mL of 0.10 M AgNO3 solution to adjust pH to 10. CTAB (0.01 g) was added, followed by 5 mL hydrazine hydrate solution dropwise over 5 min with stirring. The mixture was kept at room temperature for 5 min. Ag nanoparticles were centrifuged at 2500 rpm for 20 min, washed several times with deionized water and alcohol, and dried in a desiccator. For the composite, 0.6 g hydroxyapatite nanoribbon spherulites was added to 10 mL of a 2% Ag nanoparticle/alcohol dispersion, ultrasonicated for 2 h, and centrifuged at 1500 rpm for 10 min.","For an elemental-Ag synthesis database, the first reduction step is the relevant route; the hydroxyapatite loading is a subsequent composite-forming step.","[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""20 mL of 0.10 mol/L aqueous solution""}, {""name"": ""Ethylenediamine"", ""formula"": ""C2H8N2"", ""amount"": ""0.05 mL; used to adjust pH to 10""}, {""name"": ""Cetyltrimethylammonium bromide"", ""formula"": ""CTAB"", ""amount"": ""0.01 g, stated as 0.5 g/L""}, {""name"": ""Hydrazine hydrate"", ""formula"": ""N2H4·H2O"", ""amount"": ""5 mL solution added dropwise over 5 min""}]","[""Ethylenediamine"", ""CTAB"", ""Hydrazine hydrate (reducing agent)""]",Water; alcohol used for washing and composite dispersion,Room temperature,,5,10,Open vessel at ambient pressure,Ambient,"Add ethylenediamine to AgNO3 solution to adjust pH to 10, add CTAB, then add hydrazine hydrate dropwise over 5 min with stirring and keep at room temperature for another 5 min.",Centrifuge at 2500 rpm for 20 min; wash several times with deionized water and alcohol.,,,Dry washed Ag nanoparticles in a desiccator.,Hydroxyapatite nanoribbon spherulites for composite preparation,5.5–7,~7,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_4ff9cf4658b71a,method_e713db80b943e3,mat_48846a9d487fed,Ag,8133,1,main_protocol,10.1038/srep06742,8133.pdf,8133.json,Silver nanowires and ordered silver nanowire arrays,Ag,Ag,nanowire,Nanowires,hydrothermal,Hydrothermal nanowire synthesis followed by droplet-spreading alignment,Ag nanowires assembled into radially aligned arrays,"AgNO3 (0.17 g), PVP (0.2 g, MW 360,000), and sodium sulfide (7.2 mg) were dissolved in 20 mL ethylene glycol and vigorously stirred until clear. The solution was placed in a 50 mL Teflon-lined autoclave, heated at 160 °C for 5 h under autogenous pressure, and cooled to room temperature. The Ag nanowires were centrifuged and washed twice with anhydrous ethanol. For ordered arrays, an approximately 1 wt% ethanol suspension was dropped onto cleaned silicon or glass and allowed to spread and evaporate naturally at room temperature.","The paper focuses on array ordering, but provides a complete hydrothermal synthesis for the Ag nanowires.","[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.17 g""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""0.2 g"", ""molecular_weight"": ""360,000""}, {""name"": ""Sodium sulfide"", ""formula"": ""Na2S"", ""amount"": ""7.2 mg""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""20 mL""}]","[""PVP"", ""Sodium sulfide""]",Ethylene glycol for synthesis; ethanol for washing and array deposition,160,5,,,50 mL Teflon-lined stainless-steel autoclave; autogenous pressure,,"Dissolve AgNO3, PVP, and Na2S in 20 mL ethylene glycol and stir vigorously until clear.",Centrifuge and wash twice with anhydrous ethanol.,,,Suspend Ag nanowires in ethanol at about 1 wt%; drop 1–10 µL onto cleaned silicon or glass from a pipette held 3–5 mm above the surface and allow the droplet to spread and evaporate naturally.,Silicon or glass for array alignment,,~200,"~30,000 average; reported range 5,000–60,000",,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_5daaf7d45939da,method_389b63766e564a,mat_0b300b34f1818e,Ag,9099,1,example_protocol,10.1016/j.matchemphys.2013.09.018,9099.pdf,9099.json,Silver nanostructures with controlled morphology,Ag,Ag,nanosphere,small nanosphere,solvothermal,Seedless solvothermal reduction with time-controlled reflux,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates","AgNO3 (6.9 mg) and PVP (1 mg) were introduced into 5 mL DMF in a round-bottom flask and stirred at room temperature for 10 min, producing yellow small Ag nanospheres. The unwashed 5 mL colloid was then refluxed at 160 °C. One hour yielded polygonal nanospheres, 2 h yielded nanorods, and 4 h yielded truncated triangular nanostructures. Samples were cooled, centrifuged, washed with water five times to remove DMF and PVP, and redispersed in 3 mL deionized water.",A single precursor formulation gives multiple morphologies through controlled reflux duration.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""6.9 mg""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1 mg""}, {""name"": ""Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""5 mL""}]","[""PVP (capping agent); DMF also acts as reducing solvent""]",Dimethylformamide; products redispersed in deionized water,Room temperature for small nanospheres; 160 °C reflux for larger anisotropic structures,"10 min initial mixing; reflux 1, 2, or 4 h depending on target morphology",,,Round-bottom flask under reflux,,Introduce AgNO3 and PVP into 5 mL DMF and stir at room temperature for 10 min to generate small Ag nanospheres. Reflux the unwashed colloid at 160 °C for controlled times to drive shape evolution.,Centrifuge and wash with water five times; redisperse in 3 mL deionized water.,,,Cool samples to room temperature before repeated washing and redispersion.,,Nanospheres 4–8; polygonal nanospheres 80–120; nanorods 70–75 × 30–38; truncated triangles side length 70–140,Small nanospheres: 4–8; polygonal nanospheres: 80–120,Nanorods: 70–75; truncated triangles: side length 70–140,Nanorods: 30–38,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_97805f611b8043,method_7f1883c2f2220a,mat_0b300b34f1818e,Ag,9099,2,example_protocol,10.1016/j.matchemphys.2013.09.018,9099.pdf,9099.json,Silver nanostructures with controlled morphology,Ag,Ag,nanosphere,polygonal nanosphere,solvothermal,Seedless solvothermal reduction with time-controlled reflux,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates","AgNO3 (6.9 mg) and PVP (1 mg) were introduced into 5 mL DMF in a round-bottom flask and stirred at room temperature for 10 min, producing yellow small Ag nanospheres. The unwashed 5 mL colloid was then refluxed at 160 °C. One hour yielded polygonal nanospheres, 2 h yielded nanorods, and 4 h yielded truncated triangular nanostructures. Samples were cooled, centrifuged, washed with water five times to remove DMF and PVP, and redispersed in 3 mL deionized water.",A single precursor formulation gives multiple morphologies through controlled reflux duration.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""6.9 mg""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1 mg""}, {""name"": ""Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""5 mL""}]","[""PVP (capping agent); DMF also acts as reducing solvent""]",Dimethylformamide; products redispersed in deionized water,Room temperature for small nanospheres; 160 °C reflux for larger anisotropic structures,"10 min initial mixing; reflux 1, 2, or 4 h depending on target morphology",,,Round-bottom flask under reflux,,Introduce AgNO3 and PVP into 5 mL DMF and stir at room temperature for 10 min to generate small Ag nanospheres. Reflux the unwashed colloid at 160 °C for controlled times to drive shape evolution.,Centrifuge and wash with water five times; redisperse in 3 mL deionized water.,,,Cool samples to room temperature before repeated washing and redispersion.,,Nanospheres 4–8; polygonal nanospheres 80–120; nanorods 70–75 × 30–38; truncated triangles side length 70–140,Small nanospheres: 4–8; polygonal nanospheres: 80–120,Nanorods: 70–75; truncated triangles: side length 70–140,Nanorods: 30–38,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_b80b22c69c7c5d,method_9b159b1084f4a5,mat_54721ad036714a,Ag,9099,3,example_protocol,10.1016/j.matchemphys.2013.09.018,9099.pdf,9099.json,Silver nanostructures with controlled morphology,Ag,Ag,nanorod,nanorod,solvothermal,Seedless solvothermal reduction with time-controlled reflux,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates","AgNO3 (6.9 mg) and PVP (1 mg) were introduced into 5 mL DMF in a round-bottom flask and stirred at room temperature for 10 min, producing yellow small Ag nanospheres. The unwashed 5 mL colloid was then refluxed at 160 °C. One hour yielded polygonal nanospheres, 2 h yielded nanorods, and 4 h yielded truncated triangular nanostructures. Samples were cooled, centrifuged, washed with water five times to remove DMF and PVP, and redispersed in 3 mL deionized water.",A single precursor formulation gives multiple morphologies through controlled reflux duration.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""6.9 mg""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1 mg""}, {""name"": ""Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""5 mL""}]","[""PVP (capping agent); DMF also acts as reducing solvent""]",Dimethylformamide; products redispersed in deionized water,Room temperature for small nanospheres; 160 °C reflux for larger anisotropic structures,"10 min initial mixing; reflux 1, 2, or 4 h depending on target morphology",,,Round-bottom flask under reflux,,Introduce AgNO3 and PVP into 5 mL DMF and stir at room temperature for 10 min to generate small Ag nanospheres. Reflux the unwashed colloid at 160 °C for controlled times to drive shape evolution.,Centrifuge and wash with water five times; redisperse in 3 mL deionized water.,,,Cool samples to room temperature before repeated washing and redispersion.,,Nanospheres 4–8; polygonal nanospheres 80–120; nanorods 70–75 × 30–38; truncated triangles side length 70–140,Small nanospheres: 4–8; polygonal nanospheres: 80–120,Nanorods: 70–75; truncated triangles: side length 70–140,Nanorods: 30–38,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_06488bac2d4403,method_87b890371821fb,mat_4a916f77b0f984,Ag,9099,4,example_protocol,10.1016/j.matchemphys.2013.09.018,9099.pdf,9099.json,Silver nanostructures with controlled morphology,Ag,Ag,nanotriangle,truncated triangle,solvothermal,Seedless solvothermal reduction with time-controlled reflux,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates","AgNO3 (6.9 mg) and PVP (1 mg) were introduced into 5 mL DMF in a round-bottom flask and stirred at room temperature for 10 min, producing yellow small Ag nanospheres. The unwashed 5 mL colloid was then refluxed at 160 °C. One hour yielded polygonal nanospheres, 2 h yielded nanorods, and 4 h yielded truncated triangular nanostructures. Samples were cooled, centrifuged, washed with water five times to remove DMF and PVP, and redispersed in 3 mL deionized water.",A single precursor formulation gives multiple morphologies through controlled reflux duration.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""6.9 mg""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1 mg""}, {""name"": ""Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""5 mL""}]","[""PVP (capping agent); DMF also acts as reducing solvent""]",Dimethylformamide; products redispersed in deionized water,Room temperature for small nanospheres; 160 °C reflux for larger anisotropic structures,"10 min initial mixing; reflux 1, 2, or 4 h depending on target morphology",,,Round-bottom flask under reflux,,Introduce AgNO3 and PVP into 5 mL DMF and stir at room temperature for 10 min to generate small Ag nanospheres. Reflux the unwashed colloid at 160 °C for controlled times to drive shape evolution.,Centrifuge and wash with water five times; redisperse in 3 mL deionized water.,,,Cool samples to room temperature before repeated washing and redispersion.,,Nanospheres 4–8; polygonal nanospheres 80–120; nanorods 70–75 × 30–38; truncated triangles side length 70–140,Small nanospheres: 4–8; polygonal nanospheres: 80–120,Nanorods: 70–75; truncated triangles: side length 70–140,Nanorods: 30–38,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_6d3dacc27e0d15,method_a75a6be8292daf,mat_19fa6a9b23d007,Cu,10168,1,main_protocol,10.1016/j.jpowsour.2011.02.049,,10168.json,CuO nanosheet arrays on nickel foam,CuO,Cu;O,nanosheet,nanosheet arrays forming a uniform film on nickel foam,template-free growth method on nickel foam,template-free growth method on nickel foam,monoclinic CuO nanosheets grown as arrays on nickel foam,,Growth solution: 2.5 mmol Cu(NO3)2 and 1.25 mmol NH4NO3 in 4.5 cm3 ammonia (25 wt%) + 9 cm3 H2O; stirred 10 min at room temperature and heated at 90 ± 1 °C for 2 h before nickel foam growth step.,"[""Cu(NO3)2"", ""NH4NO3"", ""ammonia"", ""H2O""]","[""NiCl2 used in nickel foam pretreatment""]",ammonia (25 wt%) + water,90,6,,,oven; nickel foam hung in growth solution,,,,90,,"after growth, electrode was washed with water and heated at 90 ± 1 °C for 0.5 h",nickel foam,,,,,150,7 mg CuO on 1 cm2 nominal planar electrode,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_4b4c29798420db,method_fe76b5d6b66145,mat_82bb76bf6195e7,Cu,10981,1,main_protocol,10.1016/j.jlumin.2014.01.038,,10981.json,CuO nanosheets,CuO,Cu;O,nanosheet,nanosheets; randomly grown sheet-like morphology,sonochemical,green sonochemical synthesis without template,monoclinic CuO,,"Synthesis used 200 mL of 0.02 mol L-1 copper(II) acetate aqueous solution plus 1 mL glacial acetic acid, then ~20 mL of 1 mol L-1 NaOH added gradually under boiling ultrasonic irradiation in ambient air.","[""copper(II) acetate"", ""NaOH""]","[""glacial acetic acid""]",water; ethanol and distilled water used for washing,boiling under ultrasonic irradiation,1,,,round-bottom flask with refluxing device in bath-type sonicator,,,,room temperature,,"black precipitate was centrifuged, washed several times with ethanol and distilled water, and dried in air at room temperature",,,,,100-150,30-40,,"{""synthesis_route"": ""high"", ""temperature_time"": ""medium"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_4051c2a07a8fc1,method_ae8b056886a74f,mat_21c83d467a364c,Cu,1196,1,main_protocol,10.1038/srep05753,,1196.json,CuO single-crystal nanoplatelets with exposed {001} facets; comparison CuO nanoparticles,CuO,Cu;O,nanoplate,nanoplatelets; comparison nanoparticles,hydrothermal,low-temperature hydrothermal method,monoclinic CuO; single-crystal nanoplatelets with exposed {001} facets,,LiOH route produced nanoplatelets; replacing LiOH with NaOH gave nanoparticles. The nanoplatelets expose {001} facets.,"[""CuCl2·2H2O"", ""LiOH·H2O"", ""NaOH for comparison nanoparticles""]",[],distilled water,180,2,,,25 mL Teflon-lined stainless steel autoclave,,,,70,,precipitates were washed with ethanol and water several times and dried in a vacuum oven at 70 °C for 12 h,ceramic tube for gas sensor; lithium-ion battery electrode slurry for electrochemical testing,nanoplatelet cross-section width 200–300 nm; comparison nanoparticle size not extracted,,,,<50 nm for nanoplatelets,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_b256621a43b198,method_120c7eb27e30d6,mat_cdc7ed4104c67e,Cu,1197,1,example_protocol,10.1016/j.pmatsci.2013.09.003,,1197.json,CuO nanostructures,CuO,Cu;O,nanoparticle,flake-like CuO nanoparticles,hydrothermal,hydrothermal,review article covering multiple CuO nanostructures,,Review reports uniformly dispersed pure CuO nanoparticles at optimum temperature of 200 °C; 100 °C gave impure Cu(OH)2/Cu2O and 300 °C gave metallic Cu.,"[""Cu(NO3)2·3H2O"", ""NaOH""]",[],,200,2,,,,,,,,,,,3–7,,,,,,"{""synthesis_route"": ""low"", ""temperature_time"": ""medium"", ""morphology"": ""medium"", ""particle_size"": ""medium""}"
evidence_96cb8443288dc8,method_db49b0443881ac,mat_47f8ff1eb66cfb,Cu,1197,2,example_protocol,10.1016/j.pmatsci.2013.09.003,,1197.json,CuO nanostructures,CuO,Cu;O,nanorod,CuO nanotubes / nanorods,hydrothermal,hydrothermal,review article covering multiple CuO nanostructures,,Review reports CTAB-assisted route; Cu(OH)4^2− concentration adjusted to synthesize nanorods.,"[""CuCl2"", ""NaOH"", ""CTAB"", ""glucose""]",[],,room temperature in cited route,1,,,,,,,,,,,,,,,,,"{""synthesis_route"": ""low"", ""temperature_time"": ""medium"", ""morphology"": ""medium"", ""particle_size"": ""medium""}"
evidence_f8526d7d8933b2,method_80f93621370b12,mat_005761158243cf,Cu,12524,1,main_protocol,10.1007/s10854-017-8032-x,,12524.json,core-shell dendritic CuO@TiO2; dendritic CuO precursor,CuO@TiO2,Cu;O;Ti,dendrite,dendritic CuO retained after TiO2 coating,hydrothermal,two-step method: hydrothermal dendritic CuO synthesis followed by sol-gel TiO2 coating,monoclinic CuO; TiO2 shell after sol-gel coating and calcination,,Dendritic CuO stems are reported as 600-900 nm in length and 50-100 nm in diameter; branches around 200 nm in length and 10-50 nm in diameter.,"[""Cu(NO3)2·3H2O"", ""NaOH"", ""ethylene glycol"", ""tetrabutyl orthotitanate (TBOT)"", ""ammonia solution""]","[""ethylene glycol"", ""absolute ethanol"", ""ammonia solution""]",deionized water for CuO; ethanol for TiO2 coating,100,12,,,200 mL Teflon-lined stainless steel autoclave for CuO synthesis; three-neck round-bottom flask for TiO2 sol-gel coating,,,,80,350,"CuO collected by centrifugation, washed with distilled water and ethanol, and dried at 80 °C for 12 h. TiO2-coated product washed, dried at 80 °C for 12 h, and calcined in air at 350 °C for 1 h.",,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_a24293f5bc2708,method_e11eadeb8c82ec,mat_0f4ea13ff65e1b,Cu,154,1,main_protocol,10.1039/C3AY40342D,,154.json,CuO nanoparticles; CuO nanoplatelets; CuO nanorods,CuO,Cu;O,nanoplate,nanoparticles; nanoplatelets; nanorods,hydrothermal,hydrothermal for CuO nanoparticles; thermolysis of copper hydroxide for CuO nanoplatelets and CuO nanorods,CuO,,"Hydrothermal synthesis explicitly applies to CuO nanoparticles. CuO nanoplatelets and nanorods were prepared separately by thermolysis of Cu(OH)2 at 80 °C for 20 min, with ultrasound at 80 °C for nanorods. Nafion was used in electrode preparation, not in the CuO synthesis itself.","[""copper acetate"", ""Cu(CH3COO)2·H2O"", ""NaOH""]","[""PEG400"", ""Nafion""]",ethanol for CuO nanoparticles; distilled water for CuO nanoplatelets and CuO nanorods,180,1,,,40 mL Teflon-lined stainless steel autoclave for CuO nanoparticles,,,,80,,"products were collected by centrifugation, washed three times with water and ethanol, and dried at 80 °C overnight",glassy carbon electrode for electrochemical testing,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_2731af7d6223ab,method_776e77aff0ddb4,mat_ff8c71b2aaec89,Cu,20649,1,main_protocol,10.1016/j.surfcoat.2014.01.005,,20649.json,carambola-like CuO film on copper substrate; STA-modified CuO film,CuO,Cu;O,nanopetal,carambola-like CuO film composed of nanopetals,hydrothermal,hydrothermal growth of CuO film directly on copper substrate followed by stearic acid surface modification,monoclinic CuO film,,"Copper wafers were cleaned ultrasonically with acetone, absolute ethanol and distilled water, dried with N2, then treated hydrothermally in 0.01 mol/L copper acetate + 0.01 mol/L HMTA mixed solution.","[""copper(II) acetate monohydrate"", ""hexamethylenetetramine (HMTA)""]","[""stearic acid (STA)"", ""ethanol""]",water for hydrothermal growth; ethanol for STA modification,90,24,,,100 mL Teflon-lined autoclave containing cleaned copper substrate,,,,60,,"copper substrate taken out, rinsed with distilled water, dried at 60 °C for 6 h, immersed in 2.0 wt% STA ethanol solution for 2 h at room temperature, rinsed with ethanol, and dried at 60 °C for 2 h",copper wafer/substrate,carambola-like particles about 600 nm width and 800 nm length,,,,nanopetals 80-120 nm thick,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_cf2b92bb5e1a74,method_6070ec5e67462a,mat_b0f10eeecd0c48,Cu,22438,1,main_protocol,10.1016/j.catcom.2013.12.008,,22438.json,CuO nanowires and CuO nanorods,CuO,Cu;O,nanowire,nanowires and nanorods,hydrothermal,solution-phase hydrothermal route assisted by salicylic acid,monoclinic CuO with preferred growth orientation,,Commercial CuO nanoparticles of ca. 40 nm were used only as a reference. The synthesis differs between nanowires and nanorods mainly by reaction time.,"[""CuSO4·5H2O"", ""salicylic acid"", ""NaOH""]","[""salicylic acid""]",water and ethanol,120,1 h for nanowires; 6 h for nanorods,,,Teflon-lined steel autoclave,,,,60,,"black precipitate was collected by filtering, washed with double-distilled water and ethanol, and dried in vacuum oven at 60 °C for 4 h",,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_bdbae8f1c0affa,method_4882ec4814d46a,mat_0f3a5e8d573101,Cu,25439,1,main_protocol,10.1016/j.matlet.2015.12.059,,25439.json,CuO nanorods,CuO,Cu;O,nanorod,nanorods,microwave-assisted,microwave heating method using L-methionine and NaOH,monoclinic CuO,,"50 mL 0.01 M CuSO4·5H2O, 50 mL 0.01 M L-methionine, and 50 mL 0.05 M NaOH were stirred, then irradiated in a microwave oven with thirty 10 s shots. L-methionine acts as complexing/capping agent. No explicit reaction temperature is given beyond microwave irradiation and drying at 100 °C.","[""CuSO4·5H2O"", ""NaOH"", ""L-methionine""]","[""L-methionine""]",water,,,,,domestic microwave oven,,,,100,,black precipitate was centrifuged and washed five times with distilled water; final product dried at 100 °C,,,12-18,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""medium"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_d359d486d87c91,method_89db3c8e016e07,mat_d1a0a19bd3df38,Cu,26339,1,main_protocol,10.1016/j.snb.2017.03.108,,26339.json,CuO nanoflower/reduced graphene oxide layered nanocomposite film,CuO/rGO,C;Cu;O,nanosheet,CuO nanoflowers connected with crumpled rGO nanosheets,hydrothermal,hydrothermal synthesis of CuO nanoflowers followed by layer-by-layer self-assembly with GO and thermal reduction to rGO,CuO nanoflowers on rGO nanosheets; CuO/rGO heterostructure film,,"CuO nanoflowers were synthesized from 0.17 g CuCl2·2H2O and 0.11 g NaCO3 in 40 mL water, stirred for 1 h, ultrasonicated 30 min, then hydrothermally treated at 180 °C for 16 h. The final sensor film is a CuO/rGO composite, not standalone CuO powder.","[""CuCl2·2H2O"", ""NaCO3"", ""graphene oxide"", ""PDDA"", ""PSS""]","[""PDDA"", ""PSS"", ""NaCl""]",deionized water,180,16,,,Teflon-lined stainless-steel autoclave,,,,,180,"CuO products were washed with water several times, ultrasonicated for 1 h, and centrifuged at 3000 rpm for 15 min; CuO/GO film was thermally treated at 180 °C for 2–3 h to obtain CuO/rGO film",PCB substrate with Ni/Cu interdigital electrodes,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_f33d843c570735,method_c7b55348265c27,mat_6068ae8a4cc9c5,Cu,31606,1,main_protocol,10.1007/s10854-014-2396-y,,31606.json,CuO nanosheets and CuO nanoparticles,CuO,Cu;O,nanosheet,leaflike nanosheets; nanoparticles as comparison sample,precipitation/calcination,solution method followed by calcination,monoclinic CuO nanosheets after calcination; nanoparticle control also CuO,,"CuO nanoparticles were prepared by adding 10 mL 0.2 M thiourea to 10 mL 0.1 M CuSO4 solution at room temperature, washing, then calcining at 300 °C for 3 h. CuO nanosheets were prepared by rapidly mixing 10 mL 16 mM Na2O2 solution with 10 mL 7.5 mM CuSO4·5H2O solution, stirring 20 min at room temperature, cleaning by centrifugation, and calcining at 300 °C for 3 h.","[""CuSO4·5H2O"", ""Na2O2"", ""thiourea""]","[""thiourea for nanoparticle route"", ""Na2O2 for nanosheet route""]",doubly distilled water,25,0.333,,,,,,,,300,precipitates were cleaned with doubly distilled water by several centrifugations and calcined for 3 h at 300 °C in a muffle furnace,aluminum tube with Au electrodes for gas sensor testing,,,,,several nanometers,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_26c3872e064445,method_d22c0283a1e77e,mat_ceec7bf440da73,Cu,31955,1,main_protocol,10.1016/j.apcata.2014.11.042,,31955.json,Ti-supported CuO film composed of bamboo-leaf-like nanosheets,CuO,Cu;O,nanosheet,bamboo-leaf-like nanosheets forming a nanostructured film,hydrothermal,solution-chemistry/autoclave deposition of CuO film on Ti substrate using Cu-EDTA complex and NaOH,nanostructured CuO film on Ti substrate,,2 mmol CuSO4·5H2O in 40 mL water was complexed with 3 mmol EDTA; 0.3 mol NaOH in 40 mL water was blended with this solution. A Ti sheet was immersed in the ~80 mL solution in a Teflon-lined autoclave at 160 °C for 2 h.,"[""CuSO4·5H2O"", ""EDTA"", ""NaOH""]","[""EDTA""]",double-distilled water,160,2,,,Teflon-lined steel autoclave,,,,60,,obtained film was rinsed with double-distilled water and ethanol and dried in a vacuum oven at 60 °C for 4 h,"Ti sheet substrate, 5 × 12 cm, ~100 μm thick",,,,,10,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_a1f2b34b2e47b2,method_e8052784805125,mat_6863c91a32fcaa,Cu,34028,1,main_protocol,10.1016/j.msec.2012.05.042,,34028.json,CuO nanoparticle-decorated porous ZnO nanorods,CuO/ZnO,Cu;O;Zn,nanorod,CuO nanoparticles decorating porous ZnO nanorods,hydrothermal,"two-stage solution method: low-temperature hydrothermal synthesis of porous ZnO nanorods, followed by non-aqueous CuO nanoparticle decoration and calcination",CuO nanoparticles supported on porous ZnO nanorods,,"Porous ZnO nanorods were made from 0.073 g CTAB and 1.92 g NaOH in 20 mL water plus Zn(NO3)2 solution from 2.32 g Zn(NO3)2·6H2O in 20 mL water. For CuO decoration, 0.11 g ZnO nanorods were dispersed in 30 mL ethanol, treated with 4.2 mL of 0.01 M Cu(NO3)2 ethanol solution, ultrasonicated 40 min, evaporated at 80 °C, then calcined at 500 °C for 2 h.","[""CTAB"", ""NaOH"", ""Zn(NO3)2·6H2O"", ""Cu(NO3)2·3H2O""]","[""CTAB""]",water for ZnO nanorods; absolute ethanol for CuO decoration,90,15,,,50 mL autoclave for ZnO nanorod hydrothermal treatment,,,,80,500,"ZnO nanorods were centrifuged, washed with water and ethanol, and dried at 80 °C; Cu-loaded ZnO was evaporated at 80 °C and calcined at 500 °C for 2 h in air",porous ZnO nanorods; later coated on alumina tube for gas sensor,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
